customer_unique_id,total_orders,total_revenue,average_order_value,last_purchase_date,first_purchase_date,recency_days,customer_lifetime_days,customer_value,purchase_frequency,recency,opportunity_score,opportunity_level,opportunity_type,data_quality_confidence,sample_size_confidence,metric_completeness,confidence_score
0a0a92112bd4c708ca5fde585afaa872,1,13664.08,100.0,2017-09-29 15:24:52,2017-09-29 15:24:52,333,0,100.0,0.0,53.29593267882188,65.65918653576438,Medium,customer,99.3646,3.3333333333333335,100.0,70.68
763c8b1c9c68a0229c42c9fc6f662b93,1,7274.88,53.2080656252998,2018-07-15 14:49:44,2018-07-15 14:49:44,45,0,53.2080656252998,0.0,93.68863955119215,48.00216400415333,Low,customer,99.3646,3.3333333333333335,100.0,70.68
8d50f5eadf50201ccdcedfb9e2ac8455,15,879.27,0.3590613783451451,2018-08-20 19:14:26,2017-06-18 22:56:48,8,427,6.3691869853799,100.0,98.87798036465638,47.37713007383501,Low,customer,99.3646,50.0,100.0,84.68
459bef486812aa25204be022145caa62,1,6922.21,50.62525220641708,2018-07-25 18:10:17,2018-07-25 18:10:17,34,0,50.62525220641708,0.0,95.23141654978963,46.89017202348732,Low,customer,99.3646,3.3333333333333335,100.0,70.68
c8460e4251689ba205045f3ea17884a1,4,4655.879999999999,8.454215426573969,2018-08-08 14:27:15,2018-08-07 09:03:02,21,1,34.02756162991074,21.428571428571427,97.054698457223,39.64723951453785,Low,customer,99.3646,13.333333333333334,100.0,73.68
edde2314c6c30e864a128ac95d6b2112,1,4513.32,32.98350945366689,2018-08-03 21:10:16,2018-08-03 21:10:16,25,0,32.98350945366689,0.0,96.4936886395512,37.439667927427024,Low,customer,99.3646,3.3333333333333335,100.0,70.68
48e1ac109decbb87765a3eade6854098,1,4681.78,34.217242826352354,2018-06-22 12:23:19,2018-06-22 12:23:19,68,0,34.217242826352354,0.0,90.46283309957924,36.91205017440964,Low,customer,99.3646,3.3333333333333335,100.0,70.68
4007669dec559734d6f53e029e360987,1,6081.54,44.46852280824842,2017-11-24 11:03:35,2017-11-24 11:03:35,278,0,44.46852280824842,0.0,61.00981767180926,36.659651078898484,Low,customer,99.3646,3.3333333333333335,100.0,70.68
ca27f3dac28fb1063faddd424c9d95fa,1,4163.51,30.42164152597424,2018-07-29 08:39:48,2018-07-29 08:39:48,31,0,30.42164152597424,0.0,95.65217391304348,35.86233762189453,Low,customer,99.3646,3.3333333333333335,100.0,70.68
a229eba70ec1c2abef51f04987deb7a5,1,4445.5,32.48682301572596,2018-05-31 22:57:07,2018-05-31 22:57:07,89,0,32.48682301572596,0.0,87.51753155680224,35.37125897000973,Low,customer,99.3646,3.3333333333333335,100.0,70.68
ff4159b92c40ebe40454e3e6a7c35ed6,1,6726.66,49.19312255529134,2017-05-24 18:14:34,2017-05-24 18:14:34,461,0,49.19312255529134,0.0,35.34361851332399,34.124941108075035,Low,customer,99.3646,3.3333333333333335,100.0,70.68
58483a1c055dfb600f57c5b867174542,1,4034.44,29.476384691043016,2018-06-05 12:45:17,2018-06-05 12:45:17,85,0,29.476384691043016,0.0,88.07854137447406,33.82771985496847,Low,customer,99.3646,3.3333333333333335,100.0,70.68
da122df9eeddfedc1dc1f5349a1a690c,2,7571.63,27.65555505917834,2017-04-01 15:58:41,2017-04-01 15:58:40,514,0,55.38134342622829,7.142857142857142,27.91023842917251,33.66863260091686,Low,customer,99.3646,6.666666666666667,100.0,71.68
ce3fe361f9e68bf0a813baaae1334d01,1,3351.35,24.473707915857712,2018-08-15 17:00:49,2018-08-15 17:00:49,13,0,24.473707915857712,0.0,98.17671809256662,33.09588297223507,Low,customer,99.3646,3.3333333333333335,100.0,70.68
f0767ae738c3d90e7b737d7b8b8bb4d1,1,3979.55,29.074392379356535,2018-05-14 15:15:30,2018-05-14 15:15:30,106,0,29.074392379356535,0.0,85.13323983169705,33.017563774985504,Low,customer,99.3646,3.3333333333333335,100.0,70.68
3e43e6105506432c953e165fb2acf44c,9,1172.67,0.8840071409966002,2018-02-27 18:36:39,2017-09-18 18:53:15,182,161,8.51793073194239,57.14285714285714,74.47405329593268,32.72029830882726,Low,customer,99.3646,30.0,100.0,78.68
fa562ef24d41361e476e748681810e1e,1,4175.26,30.507693806213194,2018-03-29 10:31:29,2018-03-29 10:31:29,153,0,30.507693806213194,0.0,78.5413744740533,32.487506488227915,Low,customer,99.3646,3.3333333333333335,100.0,70.68
