seller_id,total_orders,total_revenue,total_items,average_review_score,average_delivery_delay,growth_rate,revenue_potential,order_volume,customer_satisfaction,delivery_performance,growth_potential,opportunity_score,opportunity_level,opportunity_type,data_quality_confidence,sample_size_confidence,metric_completeness,confidence_score
4a3ca9315b744ce9f8e9374361493884,1806,235539.96,1987,3.0,-8.95464147687323,88.46153846153845,94.35130959416168,97.40960604425256,60.0,75.81112345154004,3.3716709668955263,76.36663000373221,High,seller,99.3646,100.0,100.0,99.68
6560211a19b47992c3666cc44a7e94c0,1854,151265.77,2033,3.0,-11.010434323508127,3600.0,60.59146376246812,100.0,60.0,76.69332241813174,67.2541216600341,73.4068496574636,Medium,seller,99.3646,100.0,100.0,99.68
4869f7a5dfa277a7dca6462dcf3b52b2,1132,249640.7,1156,3.0,-10.453161093366885,1283.3333333333335,100.0,61.036157582298976,60.0,76.45418068332876,25.108963426189124,71.23806284069296,Medium,seller,99.3646,100.0,100.0,99.68
cc419e0650a3c5ba77189a1882b7556a,1706,129957.41,1775,3.0,-12.346171284176846,2400.0,52.055434540161436,92.01295196977874,60.0,77.26652499944684,45.42353610005685,66.75220071441584,Medium,seller,99.3646,100.0,100.0,99.68
7c67e1448b00f6e969d365cea6b010ab,982,239536.44,1364,3.0,-10.832569692155255,12.5,95.95228076539985,52.94117647058824,60.0,76.6169956645731,1.9897669130187607,65.71250438825486,Medium,seller,99.3646,100.0,100.0,99.68
da8622b14eb17ae2831f4ac5b9dab84a,1314,185192.32,1551,3.0,-10.527562588226147,93.33333333333333,74.182280803857,70.85806799784133,60.0,76.48610847312779,3.4602994125450066,63.788147452841095,Medium,seller,99.3646,100.0,100.0,99.68
955fee9216a65b617aa5c0531780ce60,1287,160602.68,1499,3.0,-9.62667488331572,1016.6666666666666,64.33178618080757,69.4009713977334,60.0,76.09951203001434,20.25772219063862,62.090477727241634,Medium,seller,99.3646,100.0,100.0,99.68
1f50f920176fa81dab994f9023523100,1404,142104.98,1931,3.0,-10.125605265182108,483.3333333333333,56.921694191303814,75.71505666486779,60.0,76.3136171953301,10.555239719537616,60.507838974861365,Medium,seller,99.3646,100.0,100.0,99.68
7a67c85e85bb2ce8582c35f2203ad736,1160,162648.38,1171,3.0,-11.160568793089627,800.0,65.15128402015668,62.54722072315164,60.0,76.75774937346986,16.316088686753837,60.32746166153078,Medium,seller,99.3646,100.0,100.0,99.68
1025f0e2d44d7041d6cf58b6550e0bfa,915,172860.69,1428,3.0,-10.38877201519301,1187.5,69.242287578725,49.32541824069077,60.0,76.42654950525663,23.365548607163163,58.90457812029501,Medium,seller,99.3646,100.0,100.0,99.68
fa1c13f2614d7b5c4749cbc52fecda94,585,204084.73,586,3.0,-9.612764284686241,540.0,81.75049177081077,31.516459794927144,60.0,76.09354259795036,11.586128482092098,56.97690671787678,Medium,seller,99.3646,100.0,100.0,99.68
53243585a1d6dc2643021fd1853d8905,358,235856.68,410,3.0,-10.877353877314816,58.82352941176471,94.47818614286318,19.26605504587156,60.0,76.63621382749845,2.832491723238471,56.93865085077546,Medium,seller,99.3646,100.0,100.0,99.68
3d871de0142ce09b7081e2b9d1733cb1,1080,117347.71,1147,3.0,-12.402298246798965,4.166666666666666,47.00404777531794,58.22989746357259,60.0,77.29061066960773,1.8381656244078077,52.43609686137047,Medium,seller,99.3646,100.0,100.0,99.68
7e93a43ef30c4f03f38b393420bc753a,336,182754.05,340,3.0,-11.485530574246607,0.0,73.20552126103559,18.078791149487316,60.0,76.89719968238,1.762364980102331,50.19217061604974,Medium,seller,99.3646,100.0,100.0,99.68
a1043bafd471dff536d0c462352beb48,718,133745.25,770,3.0,-11.798881855176319,316.66666666666663,53.57282550452577,38.69400971397734,60.0,77.03166759662966,7.523213947318553,50.05242161407836,Medium,seller,99.3646,100.0,100.0,99.68
620c87c171fb2a6dd6e8bb4dec959fc6,740,128909.71,798,3.0,-13.182621964954711,25.925925925925924,51.63573082686719,39.881273610361575,60.0,77.62546968951862,2.2340134335586295,49.328259447434206,Low,seller,99.3646,100.0,100.0,99.68
46dc3b2cc0980fb8ec44634e21d2718e,521,139909.69,542,3.0,-11.538531196988973,-40.0,56.04227129853132,28.062601187263898,60.0,76.91994375150571,1.0346787947697555,47.469791128578194,Low,seller,99.3646,100.0,100.0,99.68
7d13fca15225358621be4086e1eb0964,565,122261.02,578,3.0,-10.292240971816826,92.3076923076923,48.97229675075536,30.43712898003238,60.0,76.38512529909214,3.4416407924082746,46.10290414433935,Low,seller,99.3646,100.0,100.0,99.68
ea8482cd71df3c1969d7b9473ff13abc,1146,54722.29,1203,3.0,-9.393560079966331,233.33333333333334,21.916597817684906,61.79168915272532,60.0,75.99947586199835,6.00720106120902,46.023543118907455,Low,seller,99.3646,100.0,100.0,99.68
5dceca129747e92ff8ef7a997dc4f8ca,325,125816.92,346,3.0,-10.614433882680057,25.0,50.39677363736702,17.485159201295197,60.0,76.52338740729627,2.2171688459351904,43.19054688722186,Low,seller,99.3646,100.0,100.0,99.68
cca3071e3e9bb7d12640c9fbe2301306,712,78381.29,830,3.0,-14.623618789383018,-62.5,31.394282415211595,38.370210469508905,60.0,78.243842261178,0.625355315520182,42.80994921266942,Low,seller,99.3646,100.0,100.0,99.68
